,Unnamed: 0,Unnamed: 0.1,title,address,categoryName,lat,lon,totalScore,reviewsCount,price,price_cont,our_rating,star_nr,categories_tuple,geometry,index_right,neighbourhood,neighbourhood_group,final_categories
0,0,0,OVS Kids,"Oderstraße 35 a, 14513 Teltow, Germany",Children's clothing store,52.4031578,13.2474102,5.0,1,,,5.0,1,"(""Children's clothing store"", 'Childrens store')",POINT (13.241702331453837 52.40656115644417),56,Teltower Damm,Steglitz - Zehlendorf,"[""Children's clothing store""]"
1,1,1,H&M,"Müllerstraße 36, 13353 Berlin, Germany",Clothing store,52.549197,13.35471,3.8,442,€,1.0,3.16,250,"('Clothing store', ""Children's clothing store"", ""Men's clothing store"")",POINT (13.34900380325847 52.55262061467899),21,Parkviertel,Mitte,"[""Men's clothing store"", ""Children's clothing store"", 'General clothing store']"
2,2,251,KiK Kleinmachnow,"Adolf-Grimme-Ring 8, 14532 Kleinmachnow, Germany",Clothing store,52.4032941,13.2195874,4.2,67,,,4.39,28,"('Clothing store', 'Baby clothing store', ""Children's clothing store"", 'Home goods store', ""Men's clothing store"", 'Plus size clothing store', ""Women's clothing store"")",POINT (13.213874192394053 52.4066961264629),60,Zehlendorf  Südwest,Steglitz - Zehlendorf,"[""Men's clothing store"", ""Women's clothing store"", 'Baby clothing store', 'Plus size clothing store', ""Children's clothing store"", 'Home supplies store', 'General clothing store']"
3,3,279,SUMO Curated Designer & Vintage Online Store,"Prinzessinnenstraße 7, 10969 Berlin, Germany",Vintage clothing store,52.5022199,13.4137754,5.0,1,,,5.0,6,"('Vintage clothing store', 'Clothing store')",POINT (13.408086626640385 52.50564150513361),22,Südliche Friedrichstadt,Friedrichshain-Kreuzberg,"['Vintage clothing store', 'General clothing store']"
4,4,285,Primark,"Alexanderpl. 5-7, 10178 Berlin, Germany",Clothing store,52.5225903,13.4134244,4.0,5492,€,1.0,3.48,414,"('Clothing store',)",POINT (13.407732927697692 52.52601399312872),17,Alexanderplatz,Mitte,['General clothing store']
5,5,377,Primark,"Alexanderpl. 5-7, 10178 Berlin, Germany",Clothing store,52.5225903,13.4134244,4.0,5485,€,1.0,3.48,414,"('Clothing store',)",POINT (13.407732927697692 52.52601399312872),17,Alexanderplatz,Mitte,['General clothing store']
6,6,469,Primark,"Alexanderpl. 5-7, 10178 Berlin, Germany",Clothing store,52.5225903,13.4134244,4.0,5486,€,1.0,3.48,414,"('Clothing store',)",POINT (13.407732927697692 52.52601399312872),17,Alexanderplatz,Mitte,['General clothing store']
7,7,699,"Hallesches Haus - General Store, Lunchroom & Event Space","Tempelhofer Ufer 1, 10961 Berlin, Germany",Brunch restaurant,52.4972842,13.3904317,4.3,1169,,,4.0,220,"('Brunch restaurant', 'Breakfast restaurant', 'Event venue', 'General store', 'Lunch restaurant', 'Restaurant')",POINT (13.384739082632638 52.50070417240047),22,Südliche Friedrichstadt,Friedrichshain-Kreuzberg,['Department store']
8,8,919,Aesop - Online Store,"Forster Str. 47, 10999 Berlin, Germany",Beauty supply store,52.4949313,13.4334153,3.7,3,,,3.67,24,"('Beauty supply store', 'Cosmetics store', 'Perfume store')",POINT (13.42773123811734 52.49835309582541),25,südliche Luisenstadt,Friedrichshain-Kreuzberg,['Beauty supplies store']
9,9,943,The Store X Berlin,"Torstraße 1, 10119 Berlin, Germany",Cultural center,52.5276141,13.415819,4.3,133,,,4.33,126,"('Clothing store', 'Art studio', 'Cafe', 'Cultural center', 'Music store')",POINT (13.410127338257208 52.53103842738011),40,Prenzlauer Berg Südwest,Pankow,['General clothing store']
10,10,1069,Meher Kakalia,"Mulackstraße 16, 10119 Berlin, Germany",Shoe store,52.5277565,13.4043187,5.0,5,,,5.0,25,"('Shoe store', 'Bag shop', 'Embroidery shop', 'Fashion accessories store', 'Fashion designer', 'Footwear wholesaler', 'Shopping mall', 'Vintage clothing store', 'Website designer')",POINT (13.398624810519433 52.53118028891759),18,Brunnenstr. Süd,Mitte,"['Fashion accessories store', 'Formal wear store', 'Vintage clothing store', 'Emboidery & Clothing alternation store', 'Bag store', 'Footwear store', 'Shopping mall', 'Wholesalers store']"
11,11,1094,PUMA Store Berlin,"Rosenthaler Str. 40-41, 10178 Berlin, Germany",Sporting goods store,52.5238836,13.4022739,4.4,177,,,4.42,198,"('Clothing store', 'Sporting goods store', 'Fashion accessories store', ""Men's clothing store"", 'Shoe store', 'Sportswear store', 'Swimwear store')",POINT (13.396580118620898 52.52730689039727),17,Alexanderplatz,Mitte,"['Sportswear store', 'Swimwear store', ""Men's clothing store"", 'Fashion accessories store', 'Footwear store', 'General clothing store']"
12,12,1292,Nike Store Berlin,"Tauentzienstraße 9, 10787 Berlin, Germany",Sporting goods store,52.5043734,13.3376263,4.2,2304,,,3.69,156,"('Clothing store', 'Sporting goods store', 'Shoe store', 'Sportswear store')",POINT (13.331922631869432 52.50779156169848),103,Otto-Suhr-Allee,Charlottenburg-Wilm.,"['Sportswear store', 'Footwear store', 'General clothing store']"
13,13,1448,Sing Blackbird Vintage,"Sanderstraße 11, 12047 Berlin, Germany",Vintage clothing store,52.4923495,13.4261629,4.4,73,,,4.84,69,"('Vintage clothing store', 'Clothing store', 'Used clothing store')",POINT (13.420477778663779 52.495770680546286),24,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,"['Second hand clothing store', 'Vintage clothing store', 'General clothing store']"
14,14,1517,ZARA,"Friedrichstraße 88, 10117 Berlin, Germany",Store,52.5175788,13.3889724,3.8,521,€€,2.0,3.14,344,"('Store',)",POINT (13.38327687938075 52.521000798944385),17,Alexanderplatz,Mitte,['General clothing store']
15,15,1861,Pauls Boutique/Berlin,"Oderberger Str. 47, 10435 Berlin, Germany",Thrift store,52.53902,13.40785,4.1,257,,,4.12,128,"('Clothing store', 'Thrift store')",POINT (13.402155331743993 52.542445122534055),113,Brunnenstr. Nord,Mitte,"['Second hand clothing store', 'Vintage clothing store', 'General clothing store']"
16,16,1989,Made in Berlin,"Neue Schönhauser Str. 19, 10178 Berlin, Germany",Vintage clothing store,52.52471,13.40603,3.5,196,,,3.55,125,"('Vintage clothing store',)",POINT (13.400336833244602 52.52813355648087),17,Alexanderplatz,Mitte,['Vintage clothing store']
17,17,2114,H&M HOME,"Rosenthaler Str. 43, 10178 Berlin, Germany",Home goods store,52.52396,13.40303,4.3,31,,,4.3,151,"('Home goods store', 'Furniture store')",POINT (13.397336353973134 52.527383334667284),17,Alexanderplatz,Mitte,['Home supplies store']
18,18,2145,H&M HOME,"Rosenthaler Str. 43, 10178 Berlin, Germany",Home goods store,52.52396,13.40303,4.3,30,,,4.3,151,"('Home goods store', 'Furniture store')",POINT (13.397336353973134 52.527383334667284),17,Alexanderplatz,Mitte,['Home supplies store']
19,19,2265,Macke Boutique,"Winterfeldtstraße 38, 10781 Berlin, Germany",Boutique,52.4972133,13.3551061,4.2,10,,,4.67,6,"('Boutique', 'Clothing store', ""Women's clothing store"")",POINT (13.349406712367388 52.50063156442605),118,Schöneberg-Nord,Tempelhof - Schöneberg,"[""Women's clothing store"", 'Formal wear store', 'General clothing store']"
20,20,2271,folk berlin,"Mittenwalder Str. 47, 10961 Berlin, Germany",Baby store,52.4924238,13.397007,5.0,18,,,5.0,36,"('Baby store', 'Childrens store', 'Gift shop')",POINT (13.391316272344476 52.49584358652296),24,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,"['Baby clothing store', ""Children's clothing store""]"
21,21,2307,Loppis Vintage Clothing,"Weserstr. 167, 12045 Berlin, Germany",Vintage clothing store,52.4835034,13.4409266,4.9,22,,,4.85,104,"('Vintage clothing store', 'Clothing store')",POINT (13.435245453321064 52.48692437550489),78,Reuterstraße,Neukölln,"['Vintage clothing store', 'General clothing store']"
22,22,2411,VERSA Second Hand,"Selchower Str. 33, 12049 Berlin, Germany",Vintage clothing store,52.4789357,13.4243207,5.0,8,,,5.0,40,"('Vintage clothing store', 'Consignment shop', 'Second hand store', 'Used clothing store')",POINT (13.418636954486953 52.482355405758476),121,Schillerpromenade,Neukölln,"['Second hand clothing store', 'Vintage clothing store']"
23,23,2451,The New Black,"Mulackstraße 38, 10119 Berlin, Germany",Vintage clothing store,52.527058,13.406972,3.6,58,,,4.18,44,"('Vintage clothing store', 'Clothing store')",POINT (13.401278710560685 52.53048184439365),18,Brunnenstr. Süd,Mitte,"['Vintage clothing store', 'General clothing store']"
24,24,2495,Paul Smith,"Potsdamer Str. 75, 10785 Berlin, Germany",Clothing store,52.5025608,13.3656287,4.8,16,,,4.67,12,"('Clothing store',)",POINT (13.359930640139 52.50598012363485),111,Tiergarten Süd,Mitte,['General clothing store']
25,25,2507,CHANGE Lingerie,"Leipziger Pl. 12, 10117 Berlin, Germany",Clothing store,52.5104834,13.3820189,4.7,60,,,4.82,270,"('Clothing store', 'Lingerie store')",POINT (13.37632296182478 52.51390433122053),111,Tiergarten Süd,Mitte,"['Underwear store', 'General clothing store']"
26,26,2777,ZEHA Berlin Kreuzberg Store,"Friesenstraße 7, 10965 Berlin, Germany",Shoe store,52.4877868,13.3942922,4.6,12,,,4.0,8,"('Clothing store', 'Shoe store', 'Leather goods store')",POINT (13.38860154991911 52.491205976815955),24,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,"['Footwear store', 'Leather store', 'General clothing store']"
27,27,2785,Massimo Dutti,"Friedrichstraße 83, 10117 Berlin, Germany",Clothing store,52.516195,13.389201,4.0,213,,,3.02,311,"('Clothing store',)",POINT (13.383505702238226 52.519616866982155),112,Regierungsviertel,Mitte,['General clothing store']
28,28,3096,Pick'nWeight - Vintage Kilo Store,"Alte Schönhauser Str. 30, 10119 Berlin, Germany",Vintage clothing store,52.5253181,13.4064123,3.5,553,,,2.81,260,"('Vintage clothing store', 'Clothing store', 'Fashion accessories store', 'Used clothing store')",POINT (13.400719128046362 52.52874173770107),17,Alexanderplatz,Mitte,"['Fashion accessories store', 'Second hand clothing store', 'Vintage clothing store', 'General clothing store']"
29,29,3356,Mava Lou Tangomode,"Gneisenaustraße 81, 10961 Berlin, Germany",Dress store,52.4912459,13.3975419,4.2,38,,,4.54,37,"('Dress store', 'Dance store', 'Maternity store', 'Shoe store')",POINT (13.391851427074029 52.49466559054257),24,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,"[""Women's clothing store"", 'Footwear store', 'Maternity store', 'Costume store']"
30,30,3393,Not Too Sweet,"Weserstr. 165, 12045 Berlin, Germany",Vintage clothing store,52.4832573,13.441448,4.8,40,,,4.78,361,"('Vintage clothing store',)",POINT (13.435766985123001 52.486678275107444),78,Reuterstraße,Neukölln,['Vintage clothing store']
31,31,3754,Calzedonia,"Leipziger Pl. 12/13, 10117 Berlin, Germany",Clothing store,52.5100262,13.3803011,3.7,68,,,3.44,162,"('Clothing store', ""Children's clothing store"", 'Swimwear store')",POINT (13.374604891155064 52.51344700129776),111,Tiergarten Süd,Mitte,"['Swimwear store', ""Children's clothing store"", 'General clothing store']"
32,32,3916,Andreas Murkudis,"Potsdamer Str. 81, 10785 Berlin, Germany",Clothing store,52.501881,13.365532,4.5,142,,,4.21,216,"('Clothing store',)",POINT (13.359834009489047 52.50530024875273),111,Tiergarten Süd,Mitte,['General clothing store']
33,33,4132,Calvin Klein,"Berlin Lp 12 Mall Of Berlin, Leipziger Pl. 12, 10117 Berlin, Germany",Clothing store,52.5100452,13.3802333,4.3,108,,,4.17,192,"('Clothing store',)",POINT (13.374537075681813 52.51346599999688),111,Tiergarten Süd,Mitte,['General clothing store']
34,34,4324,The North Face Berlin Alexa,"Alexa Shopping Mall, Grunerstraße 20, 10179 Berlin, Germany",Clothing store,52.5199694,13.4143676,4.1,347,,,4.12,111,"('Clothing store', 'Sportswear store')",POINT (13.408676647628418 52.52339286767784),17,Alexanderplatz,Mitte,"['Sportswear store', 'General clothing store']"
35,35,4435,VANS Store Berlin Mall of Berlin,"Leipziger Pl. 12/Unit 51, 10117 Berlin, Germany",Clothing store,52.5106388,13.3828374,4.4,178,€€,2.0,4.55,187,"('Clothing store',)",POINT (13.377141598872312 52.514059786673485),112,Regierungsviertel,Mitte,['General clothing store']
36,36,4436,VANS Store Berlin Mall of Berlin,"Leipziger Pl. 12/Unit 51, 10117 Berlin, Germany",Clothing store,52.5106388,13.3828374,4.4,177,€€,2.0,4.55,187,"('Clothing store',)",POINT (13.377141598872312 52.514059786673485),112,Regierungsviertel,Mitte,['General clothing store']
37,37,4622,Diamond Freddie,"Pflügerstraße 70, 12047 Berlin, Germany",Vintage clothing store,52.4915534,13.4272428,5.0,25,,,5.0,90,"('Vintage clothing store',)",POINT (13.421557988660494 52.49497455016362),78,Reuterstraße,Neukölln,['Vintage clothing store']
38,38,4712,Kingz,"Leipziger Pl. 12, 10117 Berlin, Germany",Shoe store,52.5101065,13.380619,4.2,52,,,3.56,75,"('Clothing store', 'Shoe store')",POINT (13.37492284180243 52.51352732489655),111,Tiergarten Süd,Mitte,"['Footwear store', 'General clothing store']"
39,39,4787,The North Face Berlin Mitte,"Münzstraße 8, 10178 Berlin, Germany",Clothing store,52.5243824,13.4086803,4.3,101,,,3.86,292,"('Clothing store', 'Sportswear store')",POINT (13.402987684705048 52.527806050121036),17,Alexanderplatz,Mitte,"['Sportswear store', 'General clothing store']"
40,40,5079,Moeon sustainable clothing,"Schönleinstraße 10, 10967 Berlin, Germany",Clothing store,52.4915443,13.4199906,4.7,17,,,5.0,30,"('Clothing store',)",POINT (13.414304397585822 52.494965100711326),24,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,['General clothing store']
41,41,5109,Café at Marla / Marla Concept Store,"Gneisenaustraße 9, 10961 Berlin, Germany",Cafeteria,52.492089,13.3903607,5.0,16,,,5.0,32,"('Cafeteria', 'Record store', 'Vintage clothing store')",POINT (13.38466873996733 52.49550843220952),24,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,['Vintage clothing store']
42,42,5141,VERO MODA,"Leipziger Pl. 12, 10117 Berlin, Germany",Women's clothing store,52.5107727,13.3802158,3.7,53,,,3.48,203,"(""Women's clothing store"", 'Clothing store')",POINT (13.37451947824586 52.51419357431209),111,Tiergarten Süd,Mitte,"[""Women's clothing store"", 'General clothing store']"
43,43,5344,Weekday,"Neue Schönhauser Str. 17–18, 10178 Berlin, Germany",Clothing store,52.5246167,13.4056195,3.8,214,,,3.05,155,"('Clothing store', ""Men's clothing store"", ""Women's clothing store"")",POINT (13.399926266456625 52.52804022709354),17,Alexanderplatz,Mitte,"[""Men's clothing store"", ""Women's clothing store"", 'General clothing store']"
44,44,5499,Polo Ralph Lauren Mall of Berlin,"Mall of Berlin, Leipziger Pl. 12, 10117 Berlin, Germany",Clothing store,52.5108184,13.3825289,4.8,17,,,4.75,97,"('Clothing store', 'Fashion accessories store', ""Men's clothing store"", ""Women's clothing store"")",POINT (13.376833016420452 52.514239390378584),111,Tiergarten Süd,Mitte,"[""Men's clothing store"", ""Women's clothing store"", 'Fashion accessories store', 'General clothing store']"
45,45,5516,Polo Ralph Lauren Mall of Berlin,"Mall of Berlin, Leipziger Pl. 12, 10117 Berlin, Germany",Clothing store,52.5108184,13.3825289,4.8,16,,,4.75,97,"('Clothing store', 'Fashion accessories store', ""Men's clothing store"", ""Women's clothing store"")",POINT (13.376833016420452 52.514239390378584),111,Tiergarten Süd,Mitte,"[""Men's clothing store"", ""Women's clothing store"", 'Fashion accessories store', 'General clothing store']"
46,46,5596,BOSS Shop,"Alexanderpl. 9, 10178 Berlin, Germany",Clothing store,52.5224246,13.4115417,3.9,34,,,4.33,90,"('Clothing store', 'Fashion accessories store', 'Fashion designer', ""Men's clothing store"", 'Perfume store', 'Shoe store', 'Watch store', ""Women's clothing store"")",POINT (13.405849887466134 52.52584818546151),17,Alexanderplatz,Mitte,"[""Men's clothing store"", ""Women's clothing store"", 'Fashion accessories store', 'Formal wear store', 'Beauty supplies store', 'Footwear store', 'General clothing store']"
47,47,5686,fajny/fajna Kilo Secondhand & Vintage,"Nostitzstraße 14, 10961 Berlin, Germany",Used clothing store,52.4915693,13.390419,4.9,91,,,4.82,50,"('Used clothing store',)",POINT (13.384727118264387 52.49498868131773),24,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,['Second hand clothing store']
48,48,5736,PICKNWEIGHT - VINTAGE KILO STORE,"Bergmannstraße 102/1. OG, 10961 Berlin, Germany",Vintage clothing store,52.4902582,13.3894603,3.8,585,,,3.78,90,"('Vintage clothing store', 'Clothing store', 'Used clothing store')",POINT (13.38376840356959 52.49367739972852),24,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,"['Second hand clothing store', 'Vintage clothing store', 'General clothing store']"
49,49,5826,H&M,"Tempelhofer Damm 227, 12099 Berlin, Germany",Clothing store,52.4558086,13.3854438,3.8,241,€,1.0,3.91,330,"('Clothing store', ""Children's clothing store"", ""Men's clothing store"")",POINT (13.379755577019344 52.45922404695277),120,Tempelhof,Tempelhof - Schöneberg,"[""Men's clothing store"", ""Children's clothing store"", 'General clothing store']"
50,50,6156,Bella Bimba,"Hagelberger Str. 4, 10965 Berlin, Germany",Children's clothing store,52.4915123,13.3858194,5.0,26,,,5.0,10,"(""Children's clothing store"",)",POINT (13.38012664289558 52.4949314541251),24,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,"[""Children's clothing store""]"
51,51,6166,Darklands,"Potsdamer Straße 81a Mercator Höfe, Haus J, 10785 Berlin, Germany",Clothing store,52.5021887,13.3658101,4.4,58,,,4.25,160,"('Clothing store', 'Shoe store')",POINT (13.360112123072403 52.50560799393146),111,Tiergarten Süd,Mitte,"['Footwear store', 'General clothing store']"
52,52,6326,Kashmir Butique Majid Sultani,"Zossener Str. 40, 10961 Berlin, Germany",Clothing store,52.4922499,13.3947989,5.0,3,,,5.0,3,"('Clothing store',)",POINT (13.389107770992734 52.49566956234173),24,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,['General clothing store']
53,53,6329,Golden Trash Shop,"Solmsstraße 29, 10961 Berlin, Germany",Used clothing store,52.48962,13.39239,2.0,4,,,5.0,2,"('Used clothing store',)",POINT (13.386698748214329 52.49303927472968),24,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,['Second hand clothing store']
54,54,6331,H&M,"Karl-Marx-Straße 92-98, 12043 Berlin, Germany",Clothing store,52.480156,13.4355713,3.9,406,€,1.0,2.52,230,"('Clothing store', ""Children's clothing store"", ""Men's clothing store"")",POINT (13.429889556616102 52.4835763723362),72,Neuköllner Mitte/Zentrum,Neukölln,"[""Men's clothing store"", ""Children's clothing store"", 'General clothing store']"
55,55,6561,Levi’s®,"Schloßstraße 15, 12163 Berlin, Germany",Clothing store,52.4619126,13.3250933,4.1,66,,,3.75,192,"('Clothing store',)",POINT (13.319392719302817 52.46532577192665),50,Schloßstr.,Steglitz - Zehlendorf,['General clothing store']
56,56,6753,ODEEH Store,"Potsdamer Str. 81a/Haus J, 10785 Berlin, Germany",Women's clothing store,52.5022198,13.3658988,3.4,5,,,5.0,7,"(""Women's clothing store"",)",POINT (13.360200836074222 52.50563910141567),111,Tiergarten Süd,Mitte,"[""Women's clothing store""]"
57,57,6760,VERO MODA,"Schloßstraße 34, 12163 Berlin, Germany",Women's clothing store,52.4579009,13.3198196,4.8,4,,,4.75,16,"(""Women's clothing store"", 'Clothing store')",POINT (13.314118526766144 52.46131340336655),50,Schloßstr.,Steglitz - Zehlendorf,"[""Women's clothing store"", 'General clothing store']"
58,58,6776,H&M,"Am Borsigturm 2, 13507 Berlin, Germany",Clothing store,52.58504,13.286857,3.7,471,€,1.0,2.22,239,"('Clothing store', ""Children's clothing store"", 'Fashion accessories store', ""Men's clothing store"")",POINT (13.281133106997165 52.58846404021149),7,West 5,Reinickendorf,"[""Men's clothing store"", 'Fashion accessories store', ""Children's clothing store"", 'General clothing store']"
59,59,6988,H&M,"Am Borsigturm 2, 13507 Berlin, Germany",Clothing store,52.58504,13.286857,3.7,471,€,1.0,2.22,239,"('Clothing store', ""Children's clothing store"", 'Clothing Accessories Store', ""Men's clothing store"")",POINT (13.281133106997165 52.58846404021149),7,West 5,Reinickendorf,"[""Men's clothing store"", 'Fashion accessories store', ""Children's clothing store"", 'General clothing store']"
60,60,7015,Superdry,"Leipziger Pl. 15, 10117 Berlin, Germany",Clothing store,52.510424,13.3783576,4.4,147,€€€,3.0,4.47,316,"('Clothing store', ""Men's clothing store"", ""Women's clothing store"")",POINT (13.372660966598586 52.51384474883445),111,Tiergarten Süd,Mitte,"[""Men's clothing store"", ""Women's clothing store"", 'General clothing store']"
61,61,7331,Ulla Popken - Large Sizes Berlin,"Schloßstraße 107-108, 12163 Berlin, Germany",Plus size clothing store,52.4607682,13.3248983,4.4,104,,,4.35,115,"('Plus size clothing store', 'Dress store', ""Men's clothing store"", 'Swimwear store', 'Underwear store')",POINT (13.31919782976118 52.46418124432197),50,Schloßstr.,Steglitz - Zehlendorf,"['Swimwear store', ""Men's clothing store"", ""Women's clothing store"", 'Plus size clothing store', 'Underwear store']"
62,62,7446,WattfuernWurm,"An d. Kirche 105, 14476 Potsdam, Germany",Clothing store,52.4697391,13.1046805,5.0,4,,,5.0,4,"('Clothing store',)",POINT (13.098936694948382 52.473142416666626),55,Gatow / Kladow,Spandau,['General clothing store']
63,63,7450,My Corner - Das Schloss Berlin,"Schloßstraße 33-36 Das Schloss, 12163 Berlin, Germany",Clothing store,52.4580273,13.3200191,4.7,14,,,4.64,44,"('Clothing store',)",POINT (13.314318048672309 52.461439826038735),50,Schloßstr.,Steglitz - Zehlendorf,['General clothing store']
64,64,7472,My Corner - Das Schloss Berlin,"Schloßstraße 33-36 Das Schloss, 12163 Berlin, Germany",Clothing store,52.4580273,13.3200191,4.7,14,,,4.64,44,"('Clothing Shop',)",POINT (13.314318048672309 52.461439826038735),50,Schloßstr.,Steglitz - Zehlendorf,['General clothing store']
65,65,7494,The Jeans,"Mehringdamm 31, 10961 Berlin, Germany",Jeans shop,52.4935439,13.3886429,4.7,48,,,4.84,124,"('Jeans shop',)",POINT (13.382950422397286 52.496963399884756),24,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,['Jeans store']
66,66,7618,APRIL FIRST,"Auguststraße 77, 10117 Berlin, Germany",Women's clothing store,52.5264322,13.3931892,4.2,22,,,4.23,104,"(""Women's clothing store"", 'Stylist')",POINT (13.387493343990544 52.52985531655689),18,Brunnenstr. Süd,Mitte,"[""Women's clothing store""]"
67,67,7722,ClothingLand - Kostüme & Masken,"Kieler Str. 4, 12163 Berlin, Germany",Costume store,52.4584083,13.3239129,4.4,5,,,4.4,20,"('Costume store', 'Figurine shop', 'Gift shop')",POINT (13.318212545723377 52.46182105307195),50,Schloßstr.,Steglitz - Zehlendorf,['Costume store']
68,68,7742,H&M,"Grunerstraße 20, 10179 Berlin, Germany",Clothing store,52.5185825,13.4168825,4.0,1315,€,1.0,4.15,264,"('Clothing store', ""Children's clothing store"", ""Men's clothing store"")",POINT (13.411192209923822 52.52200594530402),17,Alexanderplatz,Mitte,"[""Men's clothing store"", ""Children's clothing store"", 'General clothing store']"
69,69,7808,H&M,"Grunerstraße 20, 10179 Berlin, Germany",Clothing store,52.5185825,13.4168825,4.0,1314,€,1.0,4.15,264,"('Clothing store', ""Children's clothing store"", ""Men's clothing store"")",POINT (13.411192209923822 52.52200594530402),17,Alexanderplatz,Mitte,"[""Men's clothing store"", ""Children's clothing store"", 'General clothing store']"
70,70,8006,Voo Store,"Oranienstraße 24, 10999 Berlin, Germany",Clothing store,52.5011596,13.4213275,4.2,592,,,3.83,239,"('Clothing store', 'Cafe')",POINT (13.415640313585826 52.50458145861311),13,nördliche Luisenstadt,Friedrichshain-Kreuzberg,['General clothing store']
71,71,8245,Anson's Herrenhaus KG,"Schloßstraße 34, 12163 Berlin, Germany",Men's clothing store,52.4578878,13.320987,4.3,398,,,4.0,132,"(""Men's clothing store"", 'Clothing store')",POINT (13.315286152191192 52.4613003582844),50,Schloßstr.,Steglitz - Zehlendorf,"[""Men's clothing store"", 'General clothing store']"
72,72,8311,Anson's Herrenhaus KG,"Schloßstraße 34, 12163 Berlin, Germany",Men's clothing store,52.4578878,13.320987,4.3,398,,,4.0,132,"(""Men's Clothes Shop"", 'Clothing Shop')",POINT (13.315286152191192 52.4613003582844),50,Schloßstr.,Steglitz - Zehlendorf,"[""Men's clothing store"", 'General clothing store']"
73,73,8377,"Chapati Design, be different-be yourself, Mode der anderen Art","Zossener Str. 37, 10961 Berlin, Germany",Clothing store,52.4910959,13.3945352,4.7,51,,,4.76,100,"('Clothing store', 'Fashion designer')",POINT (13.388844169373321 52.4945154304198),24,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,"['Formal wear store', 'General clothing store']"
74,74,8477,ONLY,"Schloßstraße 15, 12163 Berlin, Germany",Women's clothing store,52.4626235,13.3245974,4.3,42,,,4.41,189,"(""Women's clothing store"", 'Clothing store')",POINT (13.318896632409826 52.46603672145485),50,Schloßstr.,Steglitz - Zehlendorf,"[""Women's clothing store"", 'General clothing store']"
75,75,8666,Tchibo im Supermarkt,"Kladower Damm 366 B, 14089 Berlin, Germany",Coffee store,52.4551372,13.1442296,4.5,2,,,4.0,1,"('Clothing store', 'Coffee store', ""Women's clothing store"")",POINT (13.1384952609417 52.458540929305876),55,Gatow / Kladow,Spandau,"[""Women's clothing store"", 'General clothing store']"
76,76,8667,zero Store,"Schlossstraße 34 Das Schloss, 12163 Berlin, Germany",Clothing store,52.4579315,13.3207029,4.5,2,,,4.5,10,"('Clothing store', ""Women's clothing store"")",POINT (13.315001992098178 52.46134404910419),50,Schloßstr.,Steglitz - Zehlendorf,"[""Women's clothing store"", 'General clothing store']"
77,77,8673,zero Store,"Schlossstraße 34 Das Schloss, 12163 Berlin, Germany",Clothing store,52.4579315,13.3207029,4.5,2,,,4.5,10,"('Clothing Shop', ""Ladies' Clothes Shop"")",POINT (13.315001992098178 52.46134404910419),50,Schloßstr.,Steglitz - Zehlendorf,"[""Women's clothing store"", 'General clothing store']"
78,78,8677,HUMANA Secondhand & Vintage,"Mehringdamm 35, 10961 Berlin, Germany",Used clothing store,52.493326,13.3884797,3.9,228,,,3.21,189,"('Used clothing store', 'Vintage clothing store')",POINT (13.382787219216905 52.496745469518984),24,Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,"['Second hand clothing store', 'Vintage clothing store']"
79,79,8866,NEW YORKER,"Schloßstraße 34, 12163 Berlin, Germany",Clothing store,52.4576854,13.3196328,4.1,333,,,3.42,169,"('Clothing store',)",POINT (13.313931718803735 52.46109787210347),50,Schloßstr.,Steglitz - Zehlendorf,['General clothing store']
80,80,8938,NEW YORKER,"Schloßstraße 34, 12163 Berlin, Germany",Clothing store,52.4576854,13.3196328,4.1,331,,,3.42,169,"('Clothing store',)",POINT (13.313931718803735 52.46109787210347),50,Schloßstr.,Steglitz - Zehlendorf,['General clothing store']
81,81,8974,NEW YORKER,"Schloßstraße 34, 12163 Berlin, Germany",Clothing store,52.4576854,13.3196328,4.1,331,,,3.42,169,"('Clothing Shop',)",POINT (13.313931718803735 52.46109787210347),50,Schloßstr.,Steglitz - Zehlendorf,['General clothing store']
82,82,9035,BRAX Store Berlin,"Schloßstraße 26, 12163 Berlin, Germany",Clothing store,52.4595543,13.3229483,4.5,30,,,4.5,70,"('Clothing store',)",POINT (13.317247612819015 52.462967124951795),50,Schloßstr.,Steglitz - Zehlendorf,['General clothing store']
83,83,9105,Lady Su,"Schloßstraße 34, 12163 Berlin, Germany",Plus size clothing store,52.4580883,13.3204417,4.4,14,,,4.67,30,"('Plus size clothing store', 'Dress store', ""Women's clothing store"")",POINT (13.31474072178423 52.46150085270967),50,Schloßstr.,Steglitz - Zehlendorf,"[""Women's clothing store"", 'Plus size clothing store']"
